Country,1960-1970,1971-1981,1982-1992,1993-2003,2004-2013,2014-2023
Zambia,8.46,8.26,9.28,9.78,9.85,9.4
Eritrea,9.61,8.11,8.55,8.88,9.21,9.66
Saint Vincent and the Grenadines,7.28,9.28,10.42,9.69,8.71,7.95
Kyrgyzstan,7.17,8.96,9.49,9.12,10.79,9.19
Trinidad and Tobago,8.14,10.28,9.74,9.31,9.79,6.94
Tunisia,7.8,8.93,9.68,9.99,9.89,7.44
Austria,7.88,7.71,9.03,6.7,6.55,6.19
Mauritania,8.69,8.29,8.99,9.18,8.93,8.81
Luxembourg,6.99,7.81,8.02,6.23,6.17,6.21
Qatar,10.28,13.41,10.63,8.65,12.26,8.73
"Iran, Islamic Republic of",7.36,9.0,8.83,9.55,11.86,7.41
Ghana,7.64,8.39,8.6,9.55,10.12,8.93
Malta,8.08,9.55,7.76,7.62,7.46,6.7
Sweden,7.64,7.23,7.26,6.36,6.55,6.35
Colombia,8.4,9.85,10.49,9.22,9.28,8.94
Brazil,8.45,9.37,9.62,9.39,9.34,8.34
Jordan,8.31,8.08,9.48,9.71,9.13,9.43
Fiji,8.54,9.81,10.0,9.27,9.57,8.41
Bahrain,9.46,11.6,10.52,9.45,9.94,6.47
Serbia,8.71,8.08,7.38,7.35,6.83,5.87
"Virgin Islands, British",7.96,10.35,10.01,7.66,6.78,6.63
Egypt,7.75,8.98,9.16,9.36,9.96,8.62
Palau,6.82,9.47,10.25,7.69,6.57,7.07
gbm,5.7,6.54,7.33,6.21,5.7,5.46
Bosnia and Herzegovina,8.18,10.07,9.65,8.19,8.02,6.41
