Country,1991-1994,1995-1998,1999-2002,2003-2006,2007-2010,2011-2013,2014-2016,2017-2019
El Salvador,37.97,38.85,38.92,36.0,36.8,36.87,34.97,33.89
Gambia,72.95,71.83,70.08,68.69,67.73,67.03,65.49,64.69
New Caledonia,19.27,19.95,20.63,20.73,20.51,20.35,20.04,19.27
Malaysia,29.35,27.02,25.43,26.21,27.31,25.66,24.99,26.37
Tajikistan,29.96,38.18,43.71,41.68,38.47,35.91,32.71,28.67
Ecuador,41.01,41.11,42.37,42.11,40.72,41.72,39.94,43.98
Romania,29.44,34.89,41.83,35.94,33.9,33.13,30.04,26.47
Niger,90.5,90.48,90.44,90.26,89.48,88.48,92.48,92.71
Nicaragua,43.24,45.98,49.53,51.51,49.33,45.53,41.97,39.52
Chad,91.1,91.16,90.99,86.57,84.42,83.49,84.7,87.16
French Polynesia,26.97,26.47,23.27,20.17,17.78,17.31,16.9,16.25
Oman,14.19,13.59,11.03,7.0,4.28,3.51,3.53,3.53
Qatar,1.52,1.49,1.36,1.22,0.78,0.54,0.43,0.4
Guinea-Bissau,85.7,84.98,84.47,84.13,83.99,83.24,82.42,81.69
Algeria,38.31,38.7,37.77,34.39,33.82,33.24,32.53,33.43
South Africa,13.88,14.81,15.99,16.98,16.16,16.78,16.56,18.03
China,70.77,66.44,63.42,58.83,52.8,48.78,46.74,44.75
Peru,54.78,53.56,54.39,54.8,51.06,50.28,49.44,50.43
Macao,13.84,13.02,14.26,13.82,10.95,10.09,8.92,8.98
France,16.86,15.55,13.83,14.12,14.19,14.83,14.78,14.81
Cameroon,76.64,75.79,70.35,71.87,73.08,71.19,69.25,67.24
Dominican Republic,46.15,47.24,50.08,52.51,54.13,54.06,52.01,51.24
Uganda,83.33,81.73,79.95,77.87,75.71,73.57,72.76,72.03
Fiji,39.37,39.06,38.69,38.49,41.69,44.09,42.08,40.03
Libya,30.97,32.83,34.74,34.73,33.94,36.62,40.83,40.75
