Country,1991-1998,1999-2002,2003-2006,2007-2010,2011-2014,2015-2018,2019-2022
Malta,5.04,6.37,6.43,6.14,5.94,4.34,3.58
Solomon Islands,,,,2.25,0.67,,
Namibia,21.4,19.1,19.32,20.34,16.23,21.46,
Philippines,8.79,8.05,3.52,3.49,3.4,2.54,2.5
United States,5.52,4.69,5.4,7.91,7.87,4.66,5.17
Myanmar,,,,,,0.78,0.69
"Korea, Republic of",3.6,4.87,3.66,3.58,3.09,3.76,3.51
Algeria,23.51,29.78,20.48,8.34,8.94,9.05,
Latvia,17.15,14.79,10.17,14.63,14.81,10.04,8.23
Austria,4.62,4.62,5.37,4.79,5.23,5.93,5.43
Bosnia and Herzegovina,15.46,15.15,28.92,24.23,26.05,21.1,12.78
"Moldova, Republic of",,10.01,7.11,3.43,2.55,1.98,1.4
Seychelles,,,6.1,,3.77,3.72,4.14
Niger,,1.72,3.4,,0.89,7.76,0.56
American Samoa,,4.88,,,,,
Kenya,,6.7,9.81,9.9,,2.58,4.34
Brazil,6.77,8.54,7.95,6.59,5.63,9.8,9.99
Cuba,4.86,3.45,1.72,1.73,2.97,1.88,
Guam,,12.83,7.07,7.73,11.55,,
Djibouti,,,,,,22.07,
Chad,,,,,,1.42,
gbm,4.5,1.06,1.72,1.75,3.24,3.03,
Denmark,5.56,4.1,4.47,5.62,7.39,5.57,4.87
Saint Vincent and the Grenadines,18.45,22.6,,,,,
Sri Lanka,,6.33,5.56,3.92,2.85,2.88,3.61
Papua New Guinea,,,,2.68,3.7,,3.14
Burkina Faso,2.31,,,2.8,3.86,4.75,4.98
Montenegro,,,26.16,17.8,19.22,16.66,16.42
Ecuador,6.77,5.91,4.02,3.28,2.88,3.17,3.87
