Country,1970-1977,1978-1985,1986-1993,1994-2001,2002-2009,2010-2016,2017-2023
Iraq,,,,,40863194533000.0,52885460731142.86,54346059163400.0
Peru,23174375000.0,23139875000.0,22144875000.0,42165375000.0,64469625000.0,125247142857.14,151631714285.71
Estonia,,,2979133000.0,4611130125.0,9721851250.0,14321781571.43,20153730428.57
Dominican Republic,137555494587.5,158019557785.0,218189024065.0,386277774625.0,470888557587.5,612672369471.43,824553008357.14
Ethiopia,,,,,,332235343600.0,381363475371.43
Haiti,,,33773481573.0,84311433637.5,128891380262.5,196566987442.86,254302274200.0
Chile,3232658175793.91,4369512287597.82,6386674701815.14,15957570444375.0,30223287491250.0,49372528464714.29,56724740657514.29
Croatia,,,,11297042300.0,19398763900.0,19166659671.43,28498155357.14
Austria,30606123625.0,45063356125.0,61606718125.0,91561997125.0,132358500000.0,161679407142.86,200812155714.29
Ukraine,,,1640723215500.0,992017520837.5,1651388375000.0,1646228428571.43,1578616969285.71
Tunisia,5645919773.08,11244007076.61,13704986402.12,19847015862.5,28119518412.5,44236983671.43,44076400571.43
Northern Mariana Islands,,,,,965125000.0,615000000.0,810750000.0
Finland,14683859625.0,18907736250.0,25727125000.0,38869750000.0,64203000000.0,75109142857.14,89696142857.14
Bahamas,,,2204089135.05,3310887312.5,4474928750.0,4529754285.71,4554942857.14
Costa Rica,1173003712281.25,1455415681875.0,2418809095237.5,4416637324037.5,6141323445437.5,8916588619871.43,11455130680631.24
Serbia,,,,489961128571.43,1644048161287.5,2085595084514.29,3498715507414.29
Bermuda,,,,,,1735326400.0,1686651033.33
Mongolia,,,,,,10062082804485.72,20112680973285.72
