Country,1999-2001,2002-2004,2005-2007,2008-2010,2011-2013,2014-2016,2017-2018
Singapore,,,1.65,1.9,,0.54,0.53
Kiribati,2.4,,,,,5.46,3.41
Latvia,1.74,,,5.2,3.67,2.81,2.44
Belize,14.43,13.22,12.7,11.17,10.09,8.88,8.74
"Korea, Democratic People's Republic of",,,,2.61,,,
Aruba,12.14,14.19,12.32,11.02,11.46,11.45,
Benin,,12.56,12.95,10.19,9.12,7.7,8.56
Nigeria,30.58,30.58,25.79,16.23,,,
Bahamas,6.32,9.32,10.4,10.33,9.49,7.94,8.52
Vanuatu,15.0,16.87,13.82,,,25.79,
"Virgin Islands, British",8.73,9.66,6.23,6.31,6.96,5.98,4.86
Canada,0.0,,,,0.0,0.0,0.0
Nepal,38.02,22.81,,,29.73,27.72,28.52
Mexico,7.82,6.92,6.51,5.19,4.14,3.28,2.26
Brunei Darussalam,,,4.19,2.67,2.23,3.64,4.14
Ukraine,,9.09,12.52,8.9,7.61,7.14,8.2
Türkiye,5.15,3.81,2.76,4.12,5.79,3.83,2.03
Grenada,4.87,6.71,3.87,7.45,2.29,3.75,4.43
France,4.57,4.48,4.97,5.01,3.9,3.35,2.91
El Salvador,17.19,16.34,17.2,16.44,16.33,15.34,13.87
Eswatini,,,,30.48,29.0,28.68,28.27
Equatorial Guinea,34.86,31.71,,30.27,27.31,22.58,
Austria,12.11,12.86,13.09,12.67,12.46,12.98,13.47
Fiji,5.09,5.33,5.79,5.57,6.12,5.16,
Saudi Arabia,,,,10.81,9.54,9.73,4.16
"Korea, Republic of",1.16,1.44,1.29,1.77,2.32,1.34,0.76
Chile,,,6.05,6.51,7.95,7.15,6.56
Armenia,,2.84,2.16,,3.14,2.68,2.21
