Country,1960-1972,1973-1985,1986-1998,1999-2010,2011-2022
Palau,1.08,1.08,1.08,1.08,1.08
Sao Tome and Principe,1.03,1.02,1.03,1.03,1.03
Poland,1.07,1.06,1.06,1.06,1.06
Dominica,1.03,1.03,1.03,1.03,1.04
Puerto Rico,1.05,1.05,1.06,1.06,1.05
Antigua and Barbuda,1.03,1.03,1.03,1.03,1.03
Australia,1.06,1.06,1.05,1.05,1.06
Saint Lucia,1.03,1.03,1.03,1.03,1.03
Cameroon,1.03,1.03,1.03,1.03,1.03
Tuvalu,1.07,1.07,1.07,1.07,1.07
North Macedonia,1.07,1.07,1.08,1.07,1.08
Spain,1.06,1.07,1.07,1.06,1.06
Togo,1.03,1.03,1.03,1.03,1.03
Macao,1.07,1.07,1.07,1.08,1.09
Greece,1.07,1.07,1.07,1.07,1.06
South Sudan,1.03,1.04,1.04,1.04,1.03
Nauru,1.07,1.07,1.07,1.07,1.07
Sierra Leone,1.03,1.03,1.04,1.03,1.03
Pakistan,1.06,1.06,1.07,1.08,1.06
Kazakhstan,1.06,1.06,1.06,1.06,1.06
"Korea, Democratic People's Republic of",1.06,1.06,1.06,1.06,1.06
Afghanistan,1.05,1.05,1.06,1.06,1.05
Vanuatu,1.07,1.07,1.07,1.07,1.07
Dominican Republic,1.04,1.04,1.04,1.05,1.05
