Country,1996-2002,2003-2006,2007-2010,2011-2014,2015-2018,2019-2022
Norway,100.0,100.0,100.0,100.0,100.0,100.0
Zimbabwe,24.39,5.59,2.15,4.85,11.9,15.08
Tonga,100.0,79.7,67.36,62.58,73.69,83.01
Russian Federation,32.47,29.26,29.05,33.53,30.6,26.98
Netherlands,100.0,100.0,100.0,100.0,99.76,99.52
Tunisia,53.8,58.86,60.42,58.11,61.79,60.58
Luxembourg,100.0,99.88,100.0,100.0,99.88,99.76
United Arab Emirates,82.52,71.42,68.18,74.05,81.55,83.13
China,44.45,42.22,47.08,47.95,53.21,55.94
France,94.39,93.95,93.68,92.08,92.02,90.86
Côte d'Ivoire,27.62,12.38,12.5,26.89,38.45,39.3
Namibia,65.67,61.97,65.81,66.61,71.43,71.02
Cayman Islands,100.0,93.61,90.36,85.34,84.52,82.66
Iraq,13.36,7.15,4.77,9.34,6.67,5.82
Mongolia,67.17,61.51,52.92,52.9,52.62,53.32
Djibouti,37.95,37.63,40.66,34.58,27.5,23.4
Macao,78.02,92.42,81.52,81.26,85.83,84.32
Grenada,81.91,73.69,66.75,67.41,76.67,78.37
Nauru,100.0,100.0,90.46,86.18,67.26,73.99
Sudan,11.48,10.65,12.86,15.83,17.5,18.17
Romania,56.32,55.13,59.35,63.54,72.02,71.02
Aruba,,91.06,93.19,91.6,92.02,91.8
Malawi,47.95,55.75,56.97,56.32,50.24,52.25
Saudi Arabia,60.43,60.25,60.42,64.25,66.07,66.15
Senegal,61.91,57.7,51.62,54.24,56.55,51.18
Comoros,39.95,36.24,26.11,29.54,26.43,20.67
Sweden,100.0,100.0,100.0,100.0,99.88,99.76
Slovenia,87.65,86.2,87.72,86.42,85.6,86.11
Nepal,58.57,41.51,37.23,37.8,38.1,45.13
