Country,2004-2006,2007-2008,2009-2010,2011-2012,2013-2014,2015-2016,2017-2018,2019-2021
Botswana,,,49.6,,,41.5,,
Togo,32.6,,,34.5,,31.6,33.0,29.6
"Tanzania, United Republic of",,31.9,,31.0,,,33.1,
Mauritania,32.6,26.2,,,24.9,,,24.6
Gabon,33.1,,,,,,27.7,
Chile,38.2,,38.4,38.0,38.2,36.8,36.9,
El Salvador,36.0,35.9,34.6,32.7,33.2,31.25,29.25,29.4
Lao People's Democratic Republic,,29.3,,29.0,,,31.2,
Russian Federation,31.07,32.65,30.85,31.65,32.15,29.15,29.55,30.2
Cabo Verde,,37.1,,,,32.3,,
Belize,,,,,,,,
"Bolivia, Plurinational State of",44.27,40.2,36.9,33.7,35.6,33.6,31.3,30.55
kos,24.15,,25.35,22.9,21.95,21.65,24.6,
South Sudan,,,33.2,,,33.1,,
Nigeria,,,26.8,26.7,,26.9,26.7,
"Congo, The Democratic Republic of the",32.4,,,32.0,,,,
Gambia,,,34.9,,,28.7,,
"Korea, Republic of",24.0,24.5,24.2,23.8,23.6,24.0,,
Jamaica,35.8,,,,,,27.6,29.9
Azerbaijan,24.3,,,,,,,
Saint Lucia,,,,,,34.1,,
Haiti,,,,31.2,,,,
