Country,1991-1994,1995-1998,1999-2001,2002-2004,2005-2007,2008-2010,2011-2013,2014-2016,2017-2019
Colombia,7.01,6.86,6.59,6.5,6.3,6.46,7.23,7.15,7.38
Zambia,78.59,77.79,78.04,78.97,79.53,75.97,64.17,58.51,55.5
China,52.49,45.61,45.98,45.22,39.18,34.72,29.84,25.04,22.8
Japan,7.11,6.19,5.53,4.82,4.44,4.07,3.55,3.19,2.99
Portugal,13.06,14.22,14.48,13.62,12.66,11.55,8.54,5.49,3.91
Sierra Leone,76.04,75.4,74.34,71.9,69.2,65.21,60.04,55.4,52.43
Uganda,79.4,78.42,77.33,76.08,74.59,72.9,73.35,77.35,77.09
Armenia,48.44,48.71,47.87,46.34,44.54,45.96,44.78,39.19,30.13
Hong Kong,0.46,0.27,0.19,0.19,0.17,0.16,0.15,0.13,0.11
South Sudan,81.23,80.61,80.02,79.24,78.4,77.48,76.18,75.39,73.87
Belarus,10.93,11.08,10.71,10.07,9.06,8.07,7.31,6.73,7.49
Netherlands,2.67,2.34,2.36,2.06,2.19,1.89,1.49,1.43,1.38
Mauritania,37.98,36.84,35.18,33.15,31.12,29.02,26.88,24.69,22.62
Guinea-Bissau,75.9,75.21,74.99,74.08,72.77,71.16,69.46,67.78,65.09
Malaysia,19.46,15.88,13.25,11.01,10.0,8.76,7.9,7.59,6.21
"Congo, The Democratic Republic of the",79.84,80.26,80.8,80.66,79.41,77.82,76.09,73.91,72.16
chanisl,4.39,3.98,3.53,3.17,2.8,2.48,2.19,1.91,1.68
French Polynesia,8.56,7.43,6.0,5.36,5.63,5.38,4.98,4.47,3.95
Yemen,86.39,79.36,63.7,47.46,37.49,30.67,39.03,48.44,43.31
Egypt,49.91,39.97,34.41,37.8,45.52,44.85,41.27,40.6,26.6
Oman,5.32,5.15,5.15,3.51,2.27,1.03,0.47,0.38,0.32
Albania,64.95,64.66,63.98,61.2,58.64,55.73,54.85,47.6,42.1
Romania,38.98,44.86,47.66,37.56,31.83,31.15,30.82,25.84,21.84
Mali,75.96,75.32,74.0,72.52,71.06,69.48,67.69,63.78,62.72
